observ,barrio,calle,altura,institu1,institu3,distanci,edpub,estserv,banco,totrob,mes,totrob2
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,0,8,0
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,0,9,0
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,.5,10,.5
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,.5,11,.5
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,0,12,0
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,0,72,0
20,Belgrano,Dr. P.I.Rivera,a2400,0,0,2,0,0,0,0,73,0
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,1.25,4,1.25
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,0,5,0
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,.5,6,.5
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,.25,7,.25
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,1.25,8,1.25
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,0,9,0
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,.5,10,.5
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,.75,11,.75
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,0,12,0
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,0,72,0
21,Belgrano,Dr. P.I.Rivera,a2500,0,0,2,0,0,0,.25,73,.25
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,.25,4,.25
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,0,5,0
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,0,6,0
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,.25,7,.25
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,.5,8,.5
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,.25,9,.25
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,.25,10,.25
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,.25,11,.25
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,0,12,0
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,0,72,0
22,Belgrano,Dr. P.I.Rivera,a2600,0,0,3,0,0,0,.25,73,.25
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,.25,4,.25
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,0,5,0
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,0,6,0
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,.25,7,.25
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,.25,8,.25
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,.5,9,.5
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,0,10,0
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,0,11,0
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,0,12,0
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,0,72,0
23,Belgrano,Dr. P.I.Rivera,a2700,0,0,3,0,0,0,.25,73,.25
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,4,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,5,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,6,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,7,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,8,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,.25,9,.25
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,10,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,11,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,12,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,0,72,0
24,Belgrano,Dr. P.I.Rivera,a2800,0,0,3,0,0,0,.25,73,.25
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,4,0
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,.25,5,.25
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,6,0
25,Belgrano,F.D.Roosevelt,a1900,0,0,4,0,0,0,0,7,0
